포지션,이름,클래스
RWB,T. 알렉산더-아놀드,21UCL
RWB,디오구 달로,21UCL
RWB,제드 스펜스,SPL
RWB,부나 사르,WC22
RWB,주앙 칸셀루,LOL
RWB,김태환,TKL
RWB,김태환,21KLB
RWB,카일 워커,21UCL
RWB,후안 콰드라도,21UCL
RWB,뱅자맹 파바르,21UCL
GK,이범영,2012KH
GK,티보 쿠르투아,LIVE
GK,에드윈 반데르사르,NHD
GK,마누엘 노이어,LIVE
GK,티보 쿠르투아,20UCL
GK,티보 쿠르투아,LH
GK,티보 쿠르투아,TB
GK,잔루이지 돈나룸마,LIVE
GK,보이치에흐 슈체스니,EBS
GK,에우통 레이치,21UCL
GK,조 하트,TC
GK,슈벤 울라이히,21UCL
GK,닉 포프,TB
GK,닉 포프,LIVE
GK,마누엘 노이어,BOE21
GK,F. 포스터,21PLA
